iso3,country,region,hdi_1990,hdi_1995,hdi_2000,hdi_2005,hdi_2010,hdi_2015,hdi_2020,hdi_2023,le_1990,le_1995,le_2000,le_2005,le_2010,le_2015,le_2020,le_2023,eys_1990,eys_1995,eys_2000,eys_2005,eys_2010,eys_2015,eys_2020,eys_2023
SWE,Sweden,,0.818,0.869,0.912,0.911,0.918,0.945,0.951,0.959,77.589,78.822,79.739,80.621,81.519,82.184,82.427,83.262,12.94981956,16.10770035,18.69342995,16.00225067,15.98805046,18.32088089,18.65209007,18.99147034
CHE,Switzerland,,0.858,0.872,0.892,0.909,0.945,0.957,0.963,0.97,77.385,78.565,79.834,81.236,82.287,82.846,83.063,83.954,13.49625969,14.39243984,15.03796959,15.22286034,15.6798296,16.1556797,16.43366051,16.66753006
SYR,Syrian Arab Republic,AS,0.572,0.587,0.594,0.646,0.669,0.549,0.57,0.564,69.83,70.209,70.856,72.797,73.542,63.265,71.944,72.12,10.29174995,9.720040321,10.01195458,11.33917046,11.89066982,8.005896733,7.418754527,7.418754527
TJK,Tajikistan,ECA,,0.547,0.554,0.611,0.639,0.658,0.664,0.691,61.636,61.389,63.542,66.531,68.37,69.665,68.605,71.79,11.81420321,10.06548023,9.621109962,10.62835026,10.96275997,10.91729242,10.86102637,10.84980801
TZA,Tanzania (United Republic of),SSA,0.381,0.38,0.414,0.465,0.513,0.52,0.554,0.555,51.985,51.005,53.244,57.675,61.127,63.928,66.771,66.995,5.407980348,5.269070148,6.309351628,7.834320875,9.359290123,7.91933012,9.075323105,8.585740089
THA,Thailand,EAP,0.584,0.628,0.657,0.707,0.742,0.788,0.798,0.798,68.924,69.757,71.205,72.894,75.012,76.563,77.331,76.412,8.760849953,10.06676006,11.32449341,12.51091003,13.53878021,16.04120445,15.47045994,15.35883492
TLS,Timor-Leste,EAP,,,0.507,0.564,0.645,0.628,0.65,0.634,45.185,47.543,58.097,61.272,63.66,65.326,66.919,67.689,,,9.691092949,11.45902852,13.12940025,13.18550173,13.24177562,13.25306303
TGO,Togo,SSA,0.412,0.425,0.448,0.46,0.483,0.523,0.554,0.571,54.557,53.692,54.577,55.916,57.227,59.22,61.123,62.739,7.330160141,8.474849701,9.483499527,10.11639977,11.34478736,12.31624985,12.96236085,13.09642387
TON,Tonga,EAP,0.641,0.675,0.688,0.706,0.724,0.743,0.765,0.769,67.539,68.592,69.635,70.56,71.319,71.851,72.379,72.895,11.42297889,12.38910749,13.02054977,14.53181183,15.54674092,16.56167002,17.57659912,17.78693018
TTO,Trinidad and Tobago,LAC,0.661,0.677,0.714,0.756,0.789,0.808,0.8,0.807,67.591,67.995,68.629,70.185,71.809,72.882,72.645,73.49,10.69306493,10.82139449,11.3776311,11.93712083,12.75409682,13.43764126,14.1010764,14.23764336
TUN,Tunisia,AS,0.569,0.606,0.654,0.69,0.717,0.728,0.733,0.746,69.092,70.785,72.604,73.712,74.438,74.875,75.004,76.508,9.835510254,10.98894024,12.53472996,13.62553978,14.04518986,14.18632984,14.61953746,14.67349856
TKM,Turkmenistan,ECA,,,,0.653,0.7,0.725,0.744,0.764,63.867,63.514,64.931,66.275,68.608,69.061,68.846,70.073,,,,8.717363622,10.1516131,11.611313,12.44202042,13.24057961
TUV,Tuvalu,EAP,0.566,0.587,0.61,0.621,0.636,0.658,0.681,0.689,61.643,62.505,63.536,64.096,64.834,65.365,66.357,67.105,9.77039945,10.14400354,10.54128747,10.96396083,11.41385947,11.89172015,12.31097206,12.37506862
TUR,Türkiye,ECA,0.598,0.623,0.669,0.701,0.75,0.821,0.838,0.853,67.835,69.734,71.931,73.51,74.964,76.539,76.525,77.156,8.922039986,9.600279808,11.13335514,12.03092003,13.95011044,17.78837967,19.29534912,19.8307991
UGA,Uganda,SSA,0.342,0.356,0.407,0.47,0.514,0.547,0.571,0.582,47.561,47.706,49.64,54.926,59.959,63.831,66.41,68.252,5.745009899,5.621990204,8.409995609,10.60913023,10.83306978,11.15899464,11.49553237,11.56404819
UKR,Ukraine,ECA,0.75,0.702,0.716,0.757,0.782,0.778,0.783,0.779,70.354,67.114,67.786,67.517,70.188,72.686,73.283,73.422,12.5736599,11.9802084,12.79876041,14.51976013,15.05955982,13.77066994,13.58794975,13.32800961
ARE,United Arab Emirates,AS,0.713,0.747,0.79,0.819,0.835,0.857,0.909,0.94,71.074,71.392,76.347,80.779,81.886,82.076,81.936,82.909,9.683460236,10.29774019,10.32631519,10.35489019,10.38346518,11.03812981,13.52027988,15.60159016
GBR,United Kingdom,,0.812,0.835,0.87,0.903,0.921,0.931,0.93,0.946,75.738,76.614,77.849,79.106,80.391,80.919,80.385,81.302,13.64140034,14.85622501,15.99540997,16.61335945,16.45923996,17.32836914,17.37801933,17.81106949
USA,United States,,0.878,0.888,0.895,0.907,0.919,0.928,0.925,0.938,75.374,75.852,76.806,77.526,78.668,78.722,77.011,79.304,15.60052013,15.94429016,15.40754986,16.10810089,16.39607477,16.59604073,16.62663078,15.92300034
URY,Uruguay,LAC,0.713,0.729,0.764,0.778,0.796,0.818,0.837,0.862,72.994,73.493,74.693,75.829,76.691,77.285,78.381,78.138,12.9682703,13.22863269,14.16732025,15.11001015,15.15231991,15.8863802,16.5159893,17.4839592
UZB,Uzbekistan,ECA,,,0.603,0.638,0.681,0.707,0.723,0.74,65.772,64.67,65.456,67.481,69.836,71.33,71.461,72.388,11.07470989,10.63627284,10.59078026,11.39583969,11.60091972,11.66322994,11.89046955,12.46086979
VUT,Vanuatu,EAP,,,,0.561,0.582,0.599,0.617,0.621,66.684,68.104,68.586,69.166,69.57,70.163,70.385,71.477,7.575694146,8.340174105,9.334440231,10.03939349,10.68646182,11.33353016,11.73192996,11.81160992
VEN,Venezuela (Bolivarian Republic of),LAC,0.658,0.687,0.703,0.728,0.764,0.768,0.699,0.709,70.964,71.714,72.388,73.075,73.092,73.004,72.369,72.514,10.27801037,10.59076262,10.45304966,12.42912769,14.02840114,13.57514373,13.07869424,12.96537654
VNM,Viet Nam,EAP,0.499,0.556,0.604,0.647,0.686,0.717,0.755,0.766,69.027,70.871,72.746,73.198,73.611,73.955,75.383,74.588,7.688290119,9.251096189,10.55862045,11.61049747,12.74203205,13.87356663,15.0051012,15.45771503
YEM,Yemen,AS,0.359,0.393,0.439,0.481,0.502,0.475,0.459,0.47,58.528,60.532,62.761,65.356,67.223,66.761,66.435,69.295,5.393598749,6.229819829,7.207654953,8.133910179,8.018250465,7.829733567,7.494902735,7.494902735
ZMB,Zambia,SSA,0.422,0.413,0.429,0.48,0.533,0.565,0.578,0.595,48.204,46.051,46.577,51.615,56.896,60.728,63.361,66.349,7.79542017,8.090736695,8.561715661,10.09792556,10.99241965,11.00518704,11.01797045,11.02052892
ZWE,Zimbabwe,SSA,0.5,0.477,0.458,0.455,0.512,0.567,0.582,0.598,58.319,51.144,46.034,46.57,51.925,58.989,61.53,62.775,9.529560089,9.847623008,10.41816044,10.43400987,10.79711024,10.86762838,11.02558696,11.05745312
